"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","API","2","0","Signup","0"
"0","","0","Cart","2","0","Add to cart","0"
"0","","0","Cart","3","0","Checkout","0"
"0","","2","Authentication","0","0","Signup validation","0"
"0","","0","Practise","1","0","Drag and drop","0"
"0","","0","Authentication","2","0","Navigation","0"
"0","","0","Authentication","2","0","Access control","0"
"0","","0","","1","0","","0"
"0","","0","Authentication","3","0","Login validation","0"
"0","","0","Cart","2","0","Persistence","0"
"0","","0","End to end","1","0","Shopping journey","0"
"0","","0","Authentication","4","0","Login","0"
"0","","0","API","3","0","Signin","0"
"0","","0","Cart","1","0","Checkout validation","0"
"0","","1","Authentication","0","0","Signup","0"
"0","","0","Cart","2","0","Remove from cart","0"
"0","","0","Practise","2","0","Mouse actions","0"
"0","","0","Practise","1","0","Layout","0"
"0","","0","Cart","1","0","Pricing","0"
"0","","0","Practise","1","0","Waits","0"
"0","","0","Cart","1","0","Empty cart","0"
"0","","1","Authentication","1","0","Signup form","0"
"0","","0","Courses","1","0","Responsive","0"
"0","","0","Courses","3","0","Catalogue","0"
"0","","0","Authentication","2","0","Logout","0"
"0","","0","Practise","1","0","Visibility","0"
"0","","0","Navigation","1","0","Sidebar","0"
