"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3204","TC-CART-02 - the total is the sum of every course in the cart @smoke @regression","chromium","2026-08-26","passed","2026-08-26","Cart - management","","",""
"","642","TC-LOGOUT-03 - the cart route of a signed-out visitor is empty @regression","auth-chromium","2026-08-26","passed","2026-08-26","Authentication - Logout","","",""
"","1494","TC-LOGIN-02 - unregistered email is rejected @regression","auth-chromium","2026-08-26","passed","2026-08-26","Authentication - Login","","",""
"","558","TC-PRAC-02 - a field can be hidden and shown again @regression","chromium","2026-08-26","passed","2026-08-26","Practise - interactions","","",""
"","2581","TC-CART-05 - emptying the cart shows the shop-now state @regression","chromium","2026-08-26","passed","2026-08-26","Cart - management","","",""
"","2506","TC-CART-03 - a course can be removed from the cart page @regression","chromium","2026-08-26","passed","2026-08-26","Cart - management","","",""
"","551","TC-API-01 - POST /api/signin returns a token for valid credentials @api @smoke","chromium","2026-08-26","passed","2026-08-26","API - authentication endpoints","","",""
"","6191","TC-PRAC-01 - a disabled field becomes editable after the delay @regression","chromium","2026-08-26","passed","2026-08-26","Practise - interactions","","",""
"","3277","TC-CART-07 - the cart survives client-side navigation @regression","chromium","2026-08-26","passed","2026-08-26","Cart - management","","",""
"","2496","TC-HOME-02 - every course card shows its full detail set @regression","chromium","2026-08-26","passed","2026-08-26","Courses - Home page","","",""
"","2923","TC-SIGNUP-01 - a new user can register with the full form @smoke @regression","auth-chromium","2026-08-26","passed","2026-08-26","Authentication - Signup","","",""
"","2273","TC-HOME-03 - the seeded courses from the data file are listed @regression","chromium","2026-08-26","passed","2026-08-26","Courses - Home page","","",""
"","339","TC-API-05 - POST /api/signup refuses a duplicate email @api @regression","chromium","2026-08-26","passed","2026-08-26","API - authentication endpoints","","",""
"","629","TC-PRAC-05 - the draggable square can be dropped on the target @regression","chromium","2026-08-26","passed","2026-08-26","Practise - interactions","","",""
"","479","TC-LOGIN-04 - both fields empty is reported to the user @regression","auth-chromium","2026-08-26","passed","2026-08-26","Authentication - Login","","",""
"","2253","TC-HOME-01 - the catalogue renders for a signed-in user @smoke @regression","chromium","2026-08-26","passed","2026-08-26","Courses - Home page","","",""
"","3114","TC-CART-10 - cancelling checkout leaves the cart untouched @regression","chromium","2026-08-26","passed","2026-08-26","Cart - management","","",""
"","1391","TC-LOGIN-08 - the signup link opens the registration form @regression","auth-chromium","2026-08-26","passed","2026-08-26","Authentication - Login","","",""
